,MJD,UVW2_2010 Mag,UVM2_2010 Mag,UVW1_2010 Mag,U_UVOT Mag,B_UVOT Mag,V_UVOT Mag
,46850,3.26986374,3.070081522,2.962802831,3.069820828,4.113933012,4.120140947
,46852,6.146804847,6.629186773,5.088802248,4.735970913,4.197879093,3.961704454
,46853,7.680946783,8.331437764,6.267205763,6.012962821,4.361676493,3.931578184
,46854,8.455463336,9.832627468,6.928695024,6.742737067,4.535620696,4.015102119
,46857,9.095044843,11.33967553,7.656097288,7.917846249,4.878564646,3.942601172
,46863,9.324584711,12.20080547,8.030549945,8.576486762,5.138929637,3.802596806
,46867,9.362892507,12.54243471,8.13921843,8.708322008,5.238197278,3.720846822
,46870,9.365871847,12.57303768,8.168815344,8.644178068,5.256339489,3.690773784
,46876,9.280127476,12.55240711,8.103424503,8.583978109,5.158197307,3.604026325
,46893,8.863909601,12.47799665,7.736713739,8.194540421,4.74035665,3.128493612
,46910,8.433976179,12.19133357,7.339566367,7.911130635,4.333117424,2.672088214
,46919,8.817985765,11.91566277,7.665860616,8.00320183,4.740355046,3.128492493
,46922,8.250696782,11.91667832,7.122435852,7.711490407,4.129281559,2.540107799
,46934,8.19917637,11.50115799,7.071741315,7.660918721,4.08851459,2.523150588
,46944,8.291995107,11.38270556,7.170777503,7.767521922,4.214491745,2.612478967
,46956,8.75411745,11.57110366,7.636094042,8.240766142,4.753954542,3.106265519
,46977,9.499707315,11.40804638,8.417223798,9.085467503,5.646171619,4.004840573
,47047,9.4037635,10.96799837,8.481787049,7.997401701,5.990983707,4.688047694
,47101,10.75906999,10.91598059,9.603815599,9.808255218,18.61954864,17.39954864
,47188,10.0437027,10.79686651,8.896576539,7.963482009,6.941290208,6.007656197
,47210,10.24646036,10.77908232,9.215645905,9.658375811,7.388963717,6.187957478
,47224,10.52132934,10.86202183,9.52328017,9.866739733,13.28123918,6.550485352
,47248,10.37143177,10.95315768,9.140161967,8.201480804,7.359538697,6.572330692
,47257,10.58653038,10.92615667,9.191683198,8.294036111,7.455230297,6.687500895
,47272,10.4156853,10.90216837,9.225720944,8.258282358,7.549017655,6.837630914
,47322,10.93223375,11.0531993,9.884775163,10.2709238,14.80816214,13.58805029
,47347,10.80041357,11.10717745,9.62618128,8.64019603,8.271267658,7.675416133
,47363,10.9095957,11.21527607,9.745336054,8.769899771,8.459618658,7.896383084
,47375,10.981694,11.24389697,9.813550826,8.883394717,8.613981796,8.080031487
,47436,11.41883621,11.62048248,10.3408972,9.468996815,9.585326881,9.249422102
,47563,12.33112969,12.34479036,11.45278459,10.86442642,11.3369771,11.34077694
,47635,12.95477792,13.02667821,12.256807,11.55819687,12.10121778,12.23823648
,47653,13.63980452,13.2895033,12.39866371,11.85064583,12.31905772,12.48958441
,47899,14.16871068,14.39249748,14.15918343,14.16836199,14.74149122,14.90410564